,Inflation
1948Q1,8.468537316
1948Q2,8.626617999
1948Q3,8.14401296
1948Q4,4.429495505
1949Q1,1.374143949
1949Q2,-0.318457154
1949Q3,-2.826827788
1949Q4,-2.145577839
1950Q1,-1.5009189
1950Q2,-0.629931827
1950Q3,2.030244858
1950Q4,4.271374747
1951Q1,8.564404428
1951Q2,8.776621162
1951Q3,6.904537147
1951Q4,6.369252803
1952Q1,2.767183203
1952Q2,2.059834113
1952Q3,2.788849912
1952Q4,1.434776822
1953Q1,0.766780521
1953Q2,0.877068109
1953Q3,0.66024635
1953Q4,0.721452899
1954Q1,1.244401803
1954Q2,0.708562752
1954Q3,-0.012333683
1954Q4,-0.496999816
1955Q1,-0.59536953
1955Q2,-0.571423356
1955Q3,-0.236418647
1955Q4,0.373042322
1956Q1,0.248496896
1956Q2,1.040558176
1956Q3,1.996779806
1956Q4,2.548682422
1957Q1,3.355448568
1957Q2,3.548865385
1957Q3,3.406687197
1957Q4,3.038635906
1958Q1,3.39758919
1958Q2,3.220190779
1958Q3,2.273912558
1958Q4,1.895273528
1959Q1,0.889759379
1959Q2,0.390829539
1959Q3,0.963674595
1959Q4,1.463375776
1960Q1,1.381533681
1960Q2,1.808528949
1960Q3,1.349666617
1960Q4,1.386340727
1961Q1,1.496869189
1961Q2,0.864190176
1961Q3,1.198166556
1961Q4,0.702719262
1962Q1,0.889529885
1962Q2,1.298936125
1962Q3,1.194621582
1962Q4,1.292061557
1963Q1,1.221584666
1963Q2,1.031348013
1963Q3,1.354969964
1963Q4,1.383678544
1964Q1,1.47655613
1964Q2,1.452419491
1964Q3,1.068490682
1964Q4,1.258159465
1965Q1,1.157197342
1965Q2,1.632404328
1965Q3,1.703064599
1965Q4,1.768654139
1966Q1,2.388713726
1966Q2,2.653537184
1966Q3,3.218694379
1966Q4,3.507614499
1967Q1,2.831033407
1967Q2,2.534038305
1967Q3,2.672638161
1967Q4,2.945889514
1968Q1,3.672686728
1968Q2,4.037720454
1968Q3,4.38028718
1968Q4,4.522234853
1969Q1,4.7574355
1969Q2,5.355972698
1969Q3,5.376344822
1969Q4,5.668464405
1970Q1,6.040794763
1970Q2,5.863200269
1970Q3,5.530209257
1970Q4,5.448916426
1971Q1,4.700560383
1971Q2,4.223300433
1971Q3,4.181519897
1971Q4,3.474946813
1972Q1,3.445597204
1972Q2,3.175498198
1972Q3,2.985055556
1972Q4,3.278746932
1973Q1,4.028615301
1973Q2,5.456416265
1973Q3,6.608481952
1973Q4,8.081404516
1974Q1,9.452022029
1974Q2,10.0246265
1974Q3,10.84707648
1974Q4,11.37371453
1975Q1,10.56015145
1975Q2,9.114149652
1975Q3,8.326739255
1975Q4,7.124774258
1976Q1,6.148875292
1976Q2,5.840956202
1976Q3,5.439187383
1976Q4,5.057649332
1977Q1,5.733822221
1977Q2,6.576036594
1977Q3,6.366901294
1977Q4,6.385291437
1978Q1,6.275180952
1978Q2,6.79038585
1978Q3,7.716967791
1978Q4,8.552999835
1979Q1,9.331340722
1979Q2,10.21320682
1979Q3,11.08425501
1979Q4,11.90142571
1980Q1,13.2844092
1980Q2,13.47660198
1980Q3,12.16548199
1980Q4,11.81327043
1981Q1,10.67468233
1981Q2,9.417127833
1981Q3,10.30302151
1981Q4,9.154189574
1982Q1,7.309869018
1982Q2,6.677129925
1982Q3,5.656073632
1982Q4,4.348071882
1983Q1,3.531077375
1983Q2,3.249796024
1983Q3,2.49481936
1983Q4,3.182172284
1984Q1,4.521563532
1984Q2,4.310779045
1984Q3,4.206023068
1984Q4,4.070502571
1985Q1,3.575993467
1985Q2,3.54349422
1985Q3,3.297680404
1985Q4,3.452865151
1986Q1,3.058567226
1986Q2,1.664487856
1986Q3,1.654370283
1986Q4,1.337040014
1987Q1,2.017891992
1987Q2,3.632317011
1987Q3,4.078227569
1987Q4,4.311287793
1988Q1,3.889080908
1988Q2,3.902825284
1988Q3,4.058790281
1988Q4,4.216079148
1989Q1,4.568126046
1989Q2,5.031305654
1989Q3,4.599035423
1989Q4,4.52339285
1990Q1,5.100511681
1990Q2,4.481504222
1990Q3,5.413300111
1990Q4,6.087508117
1991Q1,5.126034668
1991Q2,4.733012491
1991Q3,3.78131252
1991Q4,2.922104769
1992Q1,2.852531466
1992Q2,3.027390391
1992Q3,3.028484156
1992Q4,3.07452339
1993Q1,3.123954898
1993Q2,3.077263933
1993Q3,2.778331286
1993Q4,2.73161262
1994Q1,2.507751649
1994Q2,2.354587196
1994Q3,2.81495371
1994Q4,2.570033897
1995Q1,2.800743098
1995Q2,3.04846519
1995Q3,2.629339774
1995Q4,2.5925392
1996Q1,2.74582308
1996Q2,2.787869917
1996Q3,2.858788162
1996Q4,3.18007866
1997Q1,2.902608293
1997Q2,2.275782311
1997Q3,2.200623431
1997Q4,1.873343189
1998Q1,1.47173836
1998Q2,1.570850602
1998Q3,1.583757768
1998Q4,1.514201753
1999Q1,1.673162872
1999Q2,2.090499385
1999Q3,2.31901347
1999Q4,2.586025264
2000Q1,3.205013028
2000Q2,3.240229064
2000Q3,3.410158438
2000Q4,3.385546827
2001Q1,3.353680302
2001Q2,3.270881533
2001Q3,2.643118584
2001Q4,1.857646005
2002Q1,1.224139831
2002Q2,1.309121753
2002Q3,1.563991552
2002Q4,2.22842399
2003Q1,2.93268971
2003Q2,1.986090497
2003Q3,2.192353289
2003Q4,1.982053882
2004Q1,1.801832783
2004Q2,2.747263738
2004Q3,2.640061439
2004Q4,3.328773787
2005Q1,2.989667726
2005Q2,2.881564807
2005Q3,3.745303849
2005Q4,3.608735312
2006Q1,3.60812833
2006Q2,3.865435515
2006Q3,3.288806099
2006Q4,1.929738514
2007Q1,2.417101509
2007Q2,2.632893149
2007Q3,2.323083175
2007Q4,3.932607953
2008Q1,4.081019609
2008Q2,4.208676919
2008Q3,5.140014555
2008Q4,1.543180832
2009Q1,-0.155332652
2009Q2,-0.97062521
2009Q3,-1.608267448
2009Q4,1.452977855
2010Q1,2.391499917
2010Q2,1.751815545
2010Q3,1.210264428
2010Q4,1.158924458
